Crop,Precipitation (mm day),Specific Humidity at 2 Meters (g/kg),Relative Humidity at 2 Meters (%),Temperature at 2 Meters (C),Yield
Cotton,144.49,13.28,39.09,22.17,1.108
Cotton,71.66,15.69,64.7,23.68,1.587
Soybean,111.81,15.03,51.3,19.36,1.506
Maize,141.88,15.6,45.5,19.85,5.556
Soybean,173.94,16.07,69.98,24.1,2.21
Sugarcane,115.84,19.36,69.73,25.76,58.752
Sugarcane,188.47,19.85,68.33,29.14,59.08
Barley,62.96,10.25,37.54,9.32,2.863
Rice,259.46,19.18,66.05,31.62,4.863
Sugarcane,199.4,17.97,68.07,27.78,75.501
Sugarcane,210.74,18.97,63.94,29.13,72.183
Rice,298.1,20.6,84.71,27.98,3.132
Sugarcane,158.3,14.82,82.19,27.65,90.42
Sugarcane,115.52,19.62,69.45,28.92,70.921
Sugarcane,113.45,16.76,82.27,23.13,63.507
Sugarcane,254.42,15.85,76.47,28.8,59.1
Barley,85.2,7.84,45.44,14.39,2.837
Wheat,54.5,6.43,36.73,23.17,2.473
Rice,174.16,16.07,75.55,23.54,3.459
Rice,284.79,19.47,80.86,29.57,3.443
Maize,97.44,11.16,48.23,21.57,5.449
Sugarcane,222.41,17.81,82.74,22.22,59.437
Maize,104.51,11.01,65.91,24.59,4.012
Sugarcane,144.24,17.46,66.86,31.89,37.383
Maize,121.89,15.9,51.04,26.18,5.007
Rice,287.09,18.76,66.3,29.44,2.692
Rice,159.7,17.69,71.54,22.96,4.152
Barley,39.82,6.15,51.0,18.15,2.887
Soybean,105.86,11.72,71.29,19.88,3.23
Cotton,163.57,15.74,44.93,22.76,1.241
Cotton,165.49,17.67,49.02,29.36,1.074
Rice,263.03,20.77,88.18,22.82,3.76
Maize,148.12,13.5,62.95,22.46,2.597
Soybean,195.53,14.77,54.6,19.27,2.817
Barley,37.03,10.8,43.16,12.25,1.684
Cotton,137.28,14.45,35.76,23.87,1.84
Wheat,87.24,10.07,44.33,23.18,1.728
Sugarcane,161.61,14.5,84.82,23.53,41.55
Soybean,82.96,15.18,68.13,28.04,2.749
Maize,156.96,15.82,66.63,25.21,4.613
Wheat,102.82,9.74,59.33,16.51,3.247
Cotton,86.64,13.39,55.16,22.24,0.958
Sugarcane,215.33,16.48,66.75,24.48,62.678
Soybean,148.34,15.99,74.79,19.96,2.996
Rice,184.99,16.67,71.74,20.69,3.453
Wheat,45.38,8.13,48.77,15.64,3.191
Rice,230.99,17.36,81.01,31.75,4.373
Rice,169.51,21.16,83.07,20.81,4.508
Rice,298.46,19.82,84.03,21.92,3.498
Soybean,181.15,13.68,67.71,26.78,1.985
Sugarcane,167.26,16.33,62.39,32.98,46.581
Sugarcane,249.72,19.88,72.35,22.12,40.031
Sugarcane,158.08,17.87,81.29,29.31,83.537
Sugarcane,172.88,15.19,84.04,28.14,75.233
Soybean,158.7,14.22,66.93,26.19,3.105
Wheat,78.69,8.23,51.54,11.98,2.976
Wheat,51.23,6.42,39.64,19.3,3.124
Wheat,91.72,6.19,51.47,17.45,1.889
Maize,129.25,12.63,51.92,24.7,4.203
Cotton,76.74,13.75,45.99,27.47,1.783
Soybean,146.07,12.15,52.55,28.93,3.066
Wheat,90.01,10.55,37.56,17.19,2.999
Rice,302.97,16.13,81.59,31.56,3.081
Cotton,71.72,16.11,48.2,23.46,1.443
Soybean,146.87,15.46,56.99,24.78,2.256
Wheat,105.04,8.05,48.19,12.96,3.149
Maize,119.86,13.21,49.89,19.99,6.085
Cotton,176.0,17.78,60.59,25.53,1.359
Wheat,100.06,11.99,41.04,10.56,2.195
Rice,232.6,17.54,72.12,23.69,4.887
Cotton,153.06,14.72,50.73,27.29,1.443
Sugarcane,272.07,19.54,71.43,32.15,45.42
Wheat,100.79,11.56,45.49,10.71,1.345
Maize,113.65,10.51,69.31,24.22,5.953
Sugarcane,204.65,18.68,64.79,22.6,74.481
Soybean,189.13,12.16,60.41,23.39,2.793
Sugarcane,118.43,14.37,61.28,26.56,56.918
Sugarcane,237.45,15.55,72.02,33.9,57.589
Wheat,50.81,8.92,45.75,18.36,3.516
Sugarcane,183.57,16.97,70.69,33.47,48.706
Sugarcane,245.88,18.14,78.12,30.38,52.975
Sugarcane,267.27,15.82,81.6,31.38,64.911
Rice,248.12,16.26,68.08,26.7,4.195
Rice,200.78,21.64,71.48,25.16,5.294
Wheat,108.68,10.76,56.34,13.39,3.027
Rice,279.1,18.7,84.42,20.78,3.283
Maize,124.53,12.57,45.68,27.4,2.765
Barley,73.27,5.54,40.77,10.45,3.455
Barley,38.48,5.84,45.56,10.91,2.192
Rice,253.32,17.77,68.42,27.82,5.355
Wheat,96.2,11.77,48.4,16.84,2.609
Wheat,66.08,11.57,36.55,11.29,1.729
Soybean,190.01,15.8,61.28,26.62,2.306
Maize,128.34,10.37,65.34,29.29,5.465
Maize,100.1,13.12,49.94,27.66,3.39
Barley,49.85,6.64,37.87,9.64,1.812
Soybean,122.3,11.76,53.25,26.11,3.482
Rice,237.65,18.93,81.67,21.68,2.889
Sugarcane,146.13,16.28,81.78,29.96,57.146
Maize,77.43,10.93,55.99,24.13,3.463
Sugarcane,270.21,16.66,74.98,27.72,72.851
Maize,126.31,13.3,55.18,24.26,6.596
Cotton,95.19,13.97,55.18,31.03,5.56007971639385
Rice,297.89,16.78,84.76,21.5,4.654
Wheat,64.59,6.56,47.15,22.89,1.488
Cotton,77.39,14.94,64.57,24.9,1.615
Cotton,119.78,15.33,56.58,24.74,2.663
Barley,89.38,8.9,45.35,12.68,2.226
Barley,65.9,7.18,46.03,20.62,1.874
Wheat,55.31,9.57,41.62,19.27,3.361
Soybean,141.04,12.46,68.62,20.02,2.342
Maize,74.91,13.6,67.56,22.6,3.625
Cotton,140.6,15.71,45.74,23.36,1.811
Sugarcane,158.14,15.42,66.57,28.05,75.165
Rice,258.94,17.3,80.49,27.8,3.059
Soybean,174.67,12.4,65.98,20.83,2.822
Maize,77.75,14.89,52.01,19.59,3.232
Sugarcane,230.24,18.84,67.24,29.97,60.857
Wheat,86.32,9.61,39.08,13.27,1.634
Sugarcane,192.35,18.02,81.18,22.11,59.415
Sugarcane,189.66,17.48,67.17,26.4,52.476
Wheat,77.49,8.14,43.84,21.6,3.039
Rice,319.13,16.35,82.38,31.8,2.392
Maize,152.35,15.06,63.56,20.01,2.803
Rice,311.59,19.6,83.59,26.08,4.141
Wheat,50.25,11.0,48.51,21.83,2.294
Cotton,81.82,13.1,44.13,28.3,1.642
Cotton,64.13,17.46,42.76,29.95,1.446
Rice,221.61,19.82,84.64,21.42,3.863
Maize,109.83,10.29,65.51,27.92,5.353
Maize,104.2,13.64,54.72,20.88,3.12
Soybean,143.24,14.37,54.27,20.37,2.522
Sugarcane,113.66,18.19,75.59,24.27,53.083
Cotton,164.81,17.4,47.65,25.32,1.778
Maize,101.32,15.37,69.17,23.32,4.87
Cotton,61.99,15.07,41.79,29.74,1.112
Barley,61.2,8.89,47.45,16.93,2.17
Barley,67.37,6.86,50.3,20.14,2.696
Sugarcane,205.45,18.05,80.11,29.91,70.478
Wheat,77.1,6.97,49.3,21.28,3.337
Maize,149.28,10.3,51.43,23.58,3.856
Maize,113.32,14.86,68.76,18.26,6.241
Maize,145.75,10.18,66.1,23.52,3.773
Wheat,80.11,7.95,35.98,13.81,1.892
Soybean,156.93,12.87,63.13,18.79,3.21
Rice,189.73,19.24,87.0,27.81,3.824
Cotton,147.39,14.21,53.97,29.6,1.812
Rice,181.32,21.36,81.36,21.83,3.228
Wheat,106.6,7.05,49.19,18.11,2.216
Cotton,122.67,16.62,41.47,29.47,1.224
Cotton,69.63,15.15,47.31,33.79,0.904
Rice,245.27,16.67,76.18,25.52,6.098
Cotton,112.06,14.39,53.48,29.62,1.161
Soybean,180.93,16.98,60.76,21.84,3.199
Cotton,147.26,16.46,47.76,26.15,1.479
Cotton,134.41,15.2,61.82,31.46,1.135
Soybean,92.56,13.54,69.89,19.7,1.472
Maize,135.81,14.62,69.39,24.88,4.119
Cotton,73.34,14.96,35.34,27.62,1.093
Maize,153.22,10.34,57.14,28.95,3.592
Maize,116.16,11.93,59.9,29.95,4.156
Cotton,71.28,15.47,36.08,27.59,1.448
Barley,55.86,6.51,43.36,19.53,1.637
Wheat,77.92,11.81,36.66,19.08,2.089
Barley,44.77,5.23,51.97,12.41,1.822
Barley,90.97,8.4,33.93,17.67,2.217
Soybean,189.78,12.27,53.61,27.11,2.02
Sugarcane,233.84,17.48,69.7,24.05,45.843
Wheat,75.49,7.13,36.92,19.75,2.657
Barley,77.24,5.15,50.26,15.51,2.185
Wheat,102.89,8.4,43.17,10.15,2.766
Wheat,86.27,6.47,48.61,19.93,1.827
Soybean,92.7,14.04,70.37,29.23,2.125
Barley,36.59,7.47,38.32,17.37,1.657
Maize,121.38,11.99,52.89,19.28,11.013475593850659
Barley,89.03,9.6,38.77,13.28,2.153
Cotton,74.18,16.18,53.87,32.53,1.564
Soybean,88.48,13.17,63.37,29.95,1.732
Cotton,136.01,13.44,37.28,23.55,1.025
Maize,98.34,10.58,49.42,29.85,4.135
Soybean,176.85,14.14,52.92,19.55,2.495
Cotton,110.37,15.83,46.93,25.29,2.54
Rice,313.13,18.93,67.74,26.58,3.255
Maize,119.92,14.96,60.79,27.41,4.971
Rice,223.17,17.9,75.86,29.29,5.189
Wheat,88.2,7.52,35.25,20.13,2.873
Sugarcane,124.03,14.29,79.39,28.85,70.788
Maize,125.55,15.82,63.19,29.07,4.773
Cotton,162.07,17.2,56.25,32.04,1.78
Sugarcane,144.98,17.84,81.94,27.02,76.092
Cotton,94.64,15.49,39.63,27.77,1.787
Cotton,165.28,16.44,55.91,30.43,1.412
Maize,79.49,15.03,61.78,26.36,3.794
Soybean,95.47,15.32,52.53,25.48,2.109
Cotton,70.54,14.1,36.0,22.94,1.212
Barley,70.84,7.16,33.15,16.25,2.74
Cotton,174.58,16.43,51.63,29.34,1.315
Wheat,83.72,11.19,49.67,18.13,4.513
Cotton,77.16,16.57,53.55,23.21,0.896
Soybean,139.08,12.15,61.6,20.95,3.706
Soybean,102.39,12.13,54.61,18.68,2.311
Barley,63.51,9.69,49.6,14.35,3.294
Cotton,150.33,12.95,61.43,32.46,1.033
Cotton,81.83,17.17,63.38,26.48,1.338
Soybean,175.3,13.97,72.37,21.21,2.251
Cotton,173.98,16.35,53.4,27.02,2.016
Barley,68.54,6.52,53.51,20.68,2.391
Cotton,79.28,13.12,43.55,24.08,1.807
Sugarcane,177.04,17.95,66.6,22.14,61.432
Wheat,46.64,11.99,43.17,20.47,2.891
Maize,156.01,15.72,53.81,18.52,2.788
Wheat,87.98,7.99,36.41,15.23,4.009
Cotton,133.9,13.4,35.73,32.44,0.994
Rice,210.08,17.42,84.51,23.3,5.663
Rice,252.59,20.06,85.12,23.24,5.802
Wheat,57.31,9.84,51.67,12.28,2.583
Maize,124.88,11.44,54.67,18.97,3.121
Rice,305.57,19.2,68.95,28.35,4.54
Cotton,149.79,13.11,41.28,26.45,1.565
Barley,36.55,7.7,38.32,14.14,1.726
Maize,75.62,12.92,47.73,20.98,3.067
Soybean,155.98,15.33,56.43,26.63,1.916
Maize,74.6,11.4,57.3,21.72,3.533
Sugarcane,102.05,18.18,69.4,33.31,48.981
Cotton,154.7,14.99,37.61,28.45,1.733
Rice,191.92,18.9,83.69,25.69,2.947
Cotton,86.83,17.78,35.36,33.64,0.88
Sugarcane,116.4,18.31,65.34,24.36,44.465
Soybean,168.49,12.52,51.68,21.22,3.186
Sugarcane,229.23,18.46,61.27,24.65,49.044
Rice,210.42,20.7,78.86,20.06,3.925
Sugarcane,247.88,17.33,64.49,27.61,82.18
Sugarcane,237.84,16.65,77.91,26.64,56.978
Barley,82.63,9.12,50.83,11.5,2.13
Maize,147.18,10.58,62.66,22.15,2.502
Maize,81.76,14.03,63.23,24.9,3.558
Rice,279.52,21.0,76.01,23.63,2.962
Rice,170.44,19.27,65.14,23.9,3.219
Barley,49.8,8.15,50.15,12.95,2.455
Rice,218.51,17.04,82.37,24.15,5.837
Rice,150.55,19.72,73.89,29.53,5.8755816993868875
Maize,144.66,10.8,68.38,27.02,5.834
Cotton,105.23,14.78,44.04,30.97,1.815
Barley,42.49,5.64,47.99,19.96,1.429
Maize,91.04,13.83,65.5,18.5,4.574
Rice,609.2507058224011,19.74,76.29,27.04,2.687
Barley,82.44,7.47,45.73,17.79,2.342
Barley,66.4,7.5,54.45,10.81,1.996
Cotton,70.02,16.66,51.75,27.09,2.218
Cotton,83.07,12.25,40.07,25.34,1.026
Sugarcane,209.75,15.18,66.29,24.08,76.008
Cotton,143.03,15.91,41.73,30.55,1.2
Maize,150.77,10.72,53.2,27.79,4.194
Barley,88.34,6.71,35.98,19.02,1.316
Wheat,84.41,7.33,43.04,21.87,3.018
Wheat,108.41,10.54,39.04,16.68,2.94
Maize,105.4,13.27,49.0,26.29,3.337
Maize,84.53,12.83,58.84,24.84,3.797
Soybean,177.93,13.59,69.91,25.14,3.605
Barley,64.5,8.24,51.24,14.72,2.559
Soybean,89.44,12.99,56.21,29.86,1.954
Soybean,138.21,14.24,70.46,20.06,3.424
Cotton,134.42,13.66,40.64,27.56,1.706
Cotton,152.28,17.67,60.49,24.97,1.379
Sugarcane,113.6,15.48,77.38,26.91,73.269
Cotton,176.39,17.05,60.15,27.62,1.412
Wheat,54.33,9.55,39.65,14.64,2.537
Soybean,127.3,16.09,62.32,23.66,3.016
Maize,133.16,13.34,53.97,28.94,2.636
Sugarcane,115.86,19.08,78.31,29.33,69.29
Barley,93.26,9.84,30.09,12.48,1.61
Rice,255.81,20.69,79.46,21.76,4.467
Maize,151.83,14.92,67.2,20.39,3.103
Wheat,50.93,11.93,59.43,21.11,2.883
Maize,94.61,14.42,46.29,18.59,3.722
Barley,54.22,7.97,40.53,13.75,2.016
Barley,55.26,6.84,50.95,9.01,2.825
Barley,48.19,7.71,49.92,16.27,1.818
Rice,293.81,19.68,67.22,25.85,2.471
Sugarcane,205.0,17.23,71.36,24.51,47.871
Soybean,173.98,12.01,62.81,23.85,2.938
Barley,36.17,5.45,42.76,21.57,2.136
Cotton,102.73,17.92,53.17,24.85,1.104
Wheat,73.41,8.1,44.06,21.28,2.494
Maize,131.85,11.88,46.52,26.42,2.634
Maize,144.56,10.48,56.92,25.56,5.196
Soybean,181.18,14.87,66.27,28.4,2.625
Maize,99.36,12.81,48.7,29.82,3.125
Barley,46.48,8.48,52.6,12.48,2.258
Cotton,104.64,16.66,45.22,33.17,2.184
Rice,205.19,20.42,76.9,24.51,3.892
Maize,102.04,10.89,59.91,27.77,4.05
Soybean,136.93,11.06,52.12,27.69,3.145
Rice,214.56,21.18,77.98,25.75,2.782
Rice,230.69,21.07,85.14,27.02,6.33
Cotton,173.81,16.58,39.2,32.42,1.241
Sugarcane,178.49,17.78,68.51,25.61,71.684
Rice,263.66,20.07,74.05,27.12,2.714
Barley,38.2,5.01,36.12,17.53,1.206
Cotton,87.87,17.4,46.52,28.52,5.452532954916551
Barley,90.47,10.49,36.63,20.66,1.586
Rice,275.27,21.18,70.42,21.15,2.513
Sugarcane,164.01,18.75,72.76,23.53,61.998
Sugarcane,238.21,14.24,63.07,24.44,59.045
Soybean,111.0,16.2,66.73,23.38,2.875
Cotton,92.56,16.97,45.7,25.37,1.5
Wheat,42.04,8.89,51.56,11.66,1.648
Soybean,177.58,14.53,55.27,20.84,2.513
Maize,86.11,14.79,61.94,24.56,4.259
Rice,210.35,16.42,77.98,20.81,4.368
Wheat,58.27,8.06,55.86,23.1,1.704
Rice,314.29,19.35,73.68,26.97,2.498
Soybean,195.99,13.71,53.57,22.67,3.174
Barley,48.56,8.99,31.97,16.45,1.735
Wheat,91.62,7.72,55.07,23.96,1.494
Sugarcane,107.26,15.21,64.47,26.05,40.738
Barley,94.3,10.68,36.12,9.84,1.622
Wheat,50.61,11.26,48.48,13.95,2.412
Maize,108.67,14.5,67.83,24.87,4.11
Sugarcane,157.97,17.47,61.88,33.32,52.968
Cotton,130.84,13.61,53.72,26.91,1.742
Wheat,41.53,7.81,47.57,10.79,1.729
Barley,69.27,10.58,42.09,14.87,1.984
Maize,132.13,15.67,62.06,21.98,4.816
Sugarcane,249.25,16.66,74.27,28.32,40.142
Maize,124.66,10.53,61.92,18.77,4.41
Maize,98.13,12.46,50.24,29.72,4.702
Wheat,86.68,7.94,57.45,22.43,2.204
Cotton,75.54,17.33,63.67,32.35,1.835
Sugarcane,227.5,16.21,73.88,23.2,73.506
Maize,86.64,10.36,60.11,27.16,4.799
Soybean,115.67,11.81,53.64,26.37,2.941
Barley,44.08,5.58,40.61,21.07,1.972
Barley,57.29,5.83,40.99,14.95,2.275
Soybean,198.15,15.0,57.14,25.03,1.51
Sugarcane,262.61,14.63,84.57,32.32,58.807
Cotton,82.18,17.82,58.25,33.27,1.999
Soybean,99.98,15.27,54.4,20.82,2.239
Maize,159.6,13.5,65.31,21.92,3.379
Barley,67.32,9.0,30.32,20.2,2.287
Rice,319.22,21.13,78.04,20.76,3.635
Maize,151.97,10.04,57.1,19.48,3.153
Maize,94.22,11.19,64.58,28.91,3.385
Rice,206.14,20.54,77.98,22.46,4.883
Soybean,148.42,16.17,61.93,29.93,2.456
Barley,51.24,5.39,47.27,16.01,2.297
Barley,73.52,7.28,42.55,16.47,2.835
Rice,229.08,16.36,79.06,31.49,2.806
Soybean,159.54,16.79,72.9,24.03,3.361
Barley,88.34,5.23,39.18,15.59,1.742
Rice,170.57,18.51,83.78,20.85,2.361
Barley,40.58,5.55,53.08,17.65,1.607
Soybean,104.6,15.45,51.31,28.23,1.745
Cotton,95.18,17.38,35.39,23.03,1.002
Wheat,64.54,8.24,36.72,15.17,2.626
Barley,80.69,5.41,34.84,11.0,3.032
Rice,216.96,19.91,67.66,27.89,6.193
Barley,52.37,8.05,33.69,16.56,2.476
Sugarcane,272.8,18.92,81.35,24.07,42.147
Wheat,45.34,7.65,55.17,16.44,2.529
Wheat,80.52,9.79,38.91,16.63,3.623
Barley,82.84,6.81,41.58,16.39,1.706
Rice,317.73,21.79,65.12,31.42,3.261
Sugarcane,196.07,14.86,60.23,31.7,48.979
Rice,202.35,20.23,70.05,28.08,16.04134896111939
Barley,61.83,10.16,36.3,21.73,2.392
Sugarcane,120.82,19.68,78.33,29.65,71.233
Cotton,176.98,15.9,40.99,30.16,0.994
Soybean,452.21879516983927,11.64,66.24,28.42,3.46
Cotton,157.66,16.11,39.88,32.93,1.8
Cotton,80.6,13.63,35.55,32.97,0.841
Maize,87.55,13.03,64.22,18.74,4.459
Soybean,117.07,13.21,69.24,27.73,2.308
Barley,60.59,6.15,31.53,16.27,3.059
Maize,125.54,15.1,49.91,19.51,5.247
Sugarcane,181.75,16.32,84.55,26.69,58.728
Wheat,43.64,6.19,45.58,11.18,2.461
Soybean,114.47,15.42,61.34,29.87,1.414
Cotton,175.33,12.89,47.44,23.02,1.862
Sugarcane,148.67,18.82,84.89,25.03,53.03
Soybean,155.6,13.5,53.61,19.12,1.45
Barley,84.45,5.1,43.95,13.31,2.266
Maize,149.19,13.89,67.48,25.48,3.441
Rice,189.51,17.69,85.09,31.15,3.219
Rice,236.26,21.25,77.34,28.43,5.962
Wheat,101.34,6.62,44.82,17.75,2.576
Barley,64.15,6.92,48.61,21.6,2.035
Wheat,96.99,10.11,37.76,14.05,2.129
Sugarcane,136.67,16.04,71.91,25.55,62.463
Rice,186.15,16.2,72.6,27.84,5.205
Rice,252.5,20.96,89.6,23.46,5.254
Cotton,104.94,17.7,56.96,29.18,1.334
Soybean,132.87,16.14,67.11,28.59,2.006
Rice,301.73,18.66,80.18,27.58,3.721
Soybean,123.21,13.87,58.88,26.19,2.835
Maize,110.12,14.9,67.13,19.04,4.611
Sugarcane,158.66,16.85,75.07,33.83,79.402
Wheat,67.76,6.79,56.63,12.2,2.478
Barley,36.43,9.9,30.35,17.2,1.681
Cotton,130.29,17.64,52.26,26.66,2.05
Wheat,43.59,8.96,46.05,14.68,2.039
Sugarcane,145.66,15.37,60.29,23.56,47.032
Barley,66.89,10.09,47.65,14.87,2.313
Barley,98.59,5.95,42.19,13.1,2.194
Cotton,178.94,13.39,63.28,29.8,1.391
Wheat,67.85,11.52,59.83,10.63,2.797
Cotton,108.1,14.77,63.42,23.84,1.863
Cotton,172.86,17.72,62.45,26.44,0.909
Wheat,102.33,10.5,57.71,20.62,2.677
Maize,90.45,13.26,62.37,24.18,6.469
Maize,116.77,15.98,48.38,26.11,4.954
Cotton,107.59,15.73,60.87,33.39,1.127
Sugarcane,213.88,19.86,67.77,27.53,81.605
Cotton,127.89,13.6,61.36,31.57,1.814
Maize,132.4,14.6,52.6,27.74,3.493
Sugarcane,158.96,15.26,72.3,22.24,63.988
Maize,99.51,12.23,64.0,22.07,6.562
Rice,277.27,17.91,65.0,26.13,2.951
Rice,852.1118279077031,17.39,74.77,27.13,4.948
Cotton,517.229032675167,16.24,37.44,23.02,1.948
Maize,147.21,14.0,55.88,29.44,3.714
Cotton,114.27,13.35,48.57,23.69,1.177
Rice,151.59,17.48,83.16,31.9,2.312
Soybean,171.32,15.28,59.16,18.64,2.456
Rice,242.4,16.49,76.46,25.82,3.493
Sugarcane,134.0,18.21,67.27,25.57,54.14
Barley,88.48,8.11,41.55,12.4,2.361
Wheat,86.65,10.72,46.36,18.82,2.234
Rice,203.44,18.83,85.54,25.51,4.004
Maize,104.85,11.7,52.61,29.8,5.002
Rice,315.16,17.99,77.05,22.35,3.313
Wheat,57.33,6.38,46.47,20.26,2.624
Sugarcane,159.91,18.53,76.22,29.65,73.73
Rice,317.3,20.01,80.87,21.99,3.758
Rice,235.07,18.6,76.44,22.51,3.864
Cotton,67.84,13.89,51.18,31.49,1.258
Cotton,142.91,14.32,63.1,23.65,1.337
Wheat,77.28,6.69,50.14,11.64,2.431
Cotton,92.79,17.71,39.53,27.19,2.491
Soybean,183.73,12.86,67.35,18.19,1.978
Sugarcane,270.59,14.76,84.34,24.77,57.668
Soybean,191.19,15.26,60.47,24.21,1.599
Sugarcane,130.63,15.53,66.58,28.67,55.796
Cotton,94.47,13.78,42.01,22.51,0.84
Cotton,108.23,14.88,53.83,32.48,2.158
Wheat,83.77,10.48,40.47,10.84,1.905
Cotton,81.18,13.32,40.59,31.36,1.305
Wheat,69.35,6.11,54.82,10.97,2.865
Barley,58.04,7.29,40.3,18.19,2.352
Barley,47.21,8.75,38.41,10.96,1.616
Soybean,158.79,16.44,54.22,29.62,2.276
Wheat,87.07,11.86,37.55,10.12,2.3
Soybean,172.62,13.9,72.44,28.89,1.685
Cotton,130.0,17.77,46.25,25.43,2.36
Barley,66.59,6.88,33.55,10.99,1.858
Wheat,56.59,10.06,49.14,23.01,2.067
Maize,103.22,12.14,53.6,24.25,4.899
Wheat,46.29,9.61,43.52,22.84,1.985
Maize,120.19,10.33,69.3,24.15,4.86
Rice,671.001291783181,20.01,85.2,29.15,5.276
Maize,154.11,11.82,64.55,27.19,4.417
Cotton,178.52,12.24,61.01,28.94,1.398
Cotton,173.31,14.85,60.86,32.13,1.039
Cotton,119.8,14.51,62.45,26.35,1.927
Barley,58.19,8.55,50.89,8.61,1.563
Rice,223.25,17.49,80.43,28.48,3.423
Barley,43.47,9.78,39.87,14.89,3.046
Soybean,184.82,12.42,55.29,26.83,1.832
Cotton,171.53,15.34,52.15,25.36,1.676
Wheat,80.2,10.0,54.43,22.07,2.473
Soybean,197.07,11.39,70.55,25.76,2.568
Soybean,166.11,15.66,66.84,25.37,3.572
Soybean,196.16,16.49,54.17,19.45,1.469
Soybean,163.0,15.77,54.08,19.25,1.782
Barley,60.02,7.41,49.58,21.48,1.488
Maize,115.81,12.72,51.97,29.51,2.98
Maize,115.4,11.87,55.69,25.74,5.963
Maize,120.75,11.57,62.37,24.81,6.166
Wheat,42.52,7.05,56.67,13.95,2.752
Rice,217.49,18.68,80.01,26.19,6.115
Cotton,179.16,12.44,51.62,33.63,1.349
Wheat,108.68,7.14,54.81,22.71,2.789
Rice,296.8,19.53,74.38,23.43,2.917
Cotton,86.86,15.22,52.79,28.96,1.102
Sugarcane,224.04,17.39,81.47,23.41,66.963
Soybean,146.95,12.83,52.16,18.02,2.225
Barley,64.07,5.43,53.85,11.13,3.048
Wheat,107.77,8.68,47.54,13.45,2.229
Cotton,81.29,16.5,59.21,33.89,1.347
Maize,133.36,11.3,54.17,22.69,5.966
Barley,61.43,7.3,49.87,14.39,1.927
Sugarcane,136.21,19.53,81.32,31.3,52.754
Rice,220.75,18.89,65.48,23.12,5.009
Cotton,167.05,15.79,58.84,28.03,1.571
Maize,152.66,13.9,47.59,22.82,4.742
Sugarcane,260.04,19.07,73.14,30.3,59.778
Barley,65.6,6.19,45.04,8.85,1.964
Soybean,145.38,12.62,67.56,25.91,3.849
Maize,142.79,15.25,52.56,28.3,4.835
Cotton,152.45,16.1,48.38,25.28,1.911
Soybean,173.68,16.46,59.57,25.57,2.444
Wheat,102.59,11.68,57.31,15.87,3.021
Maize,135.72,12.19,61.02,23.59,4.033
Maize,147.53,15.2,45.25,27.34,3.869
Sugarcane,235.66,15.32,69.71,32.39,63.642
Maize,111.27,13.39,61.58,26.15,6.881
Rice,289.83,20.82,78.81,26.24,2.867
Maize,138.08,12.84,50.64,25.4,2.939
Wheat,97.03,9.67,44.34,13.57,1.591
Cotton,172.6,13.09,36.99,30.89,1.463
Rice,301.62,18.6,87.75,24.53,4.846
Sugarcane,116.79,18.43,84.0,30.14,61.087
Soybean,175.27,13.92,58.35,19.28,1.883
Wheat,96.07,6.63,49.42,16.5,1.939
Sugarcane,166.09,14.11,62.51,27.95,76.596
Cotton,112.5,17.42,45.45,28.17,2.53
Maize,138.57,15.36,55.82,24.43,4.901
Barley,74.27,5.73,31.97,15.38,2.433
Sugarcane,169.11,18.42,71.9,23.47,83.054
Maize,128.39,12.51,56.45,21.08,5.315
Wheat,65.98,11.52,49.61,17.54,2.569
Cotton,147.48,16.63,37.22,26.3,1.204
Rice,279.51,18.32,77.78,25.91,4.77
Rice,228.45,19.82,81.48,30.74,4.286
Soybean,121.48,15.85,56.16,18.76,1.796
Maize,134.99,10.24,55.14,24.2,5.223
Barley,91.13,9.64,34.22,19.51,2.268
Sugarcane,232.43,15.27,63.63,25.8,76.509
Maize,154.68,10.75,66.88,29.65,2.897
Maize,95.11,12.43,69.97,18.66,4.512
Cotton,125.03,17.24,56.97,31.68,1.924
Soybean,117.88,11.75,66.39,18.48,2.648
Barley,67.52,7.15,36.94,17.0,3.054
Rice,263.81,21.96,81.55,26.69,4.783
Rice,304.04,17.66,89.59,21.69,2.551
Sugarcane,190.79,16.79,66.33,28.06,55.579
Soybean,83.1,12.33,69.51,20.41,1.388
Wheat,52.02,9.0,45.3,22.19,2.725
Soybean,88.77,12.64,74.5,25.16,2.978
Maize,151.85,11.14,65.53,24.54,2.985
Sugarcane,267.78,18.32,79.14,23.1,50.676
Maize,158.82,14.53,51.22,24.46,5.681
Sugarcane,225.16,14.63,76.62,25.43,52.187
Wheat,52.84,11.13,57.06,16.53,1.987
Cotton,175.49,13.51,49.92,25.61,1.18
Rice,301.69,17.11,66.97,22.87,4.258
Sugarcane,169.8,15.72,66.71,32.33,43.099
Rice,163.5,20.39,69.69,30.3,4.578
Rice,238.05,18.09,74.29,20.02,3.14
Wheat,56.45,10.23,55.43,17.65,3.882
Cotton,169.08,13.08,42.13,33.66,0.903
Soybean,110.28,16.49,56.64,28.75,1.436
Barley,40.7,7.35,47.83,17.23,2.074
Soybean,83.52,14.71,62.74,24.55,2.257
Sugarcane,183.19,17.29,83.73,33.98,49.816
Cotton,101.48,17.38,49.22,30.01,1.306
Soybean,173.95,13.66,62.13,27.33,1.9
Soybean,147.43,15.45,66.55,22.27,3.621
